--- Training Clean Model ---
Epoch 78/100 - Loss: 0.0343, Accuracy: 98.84%, LR: 0.012494
Epoch 79/100 - Loss: 0.0326, Accuracy: 98.92%, LR: 0.011474
Epoch 80/100 - Loss: 0.0235, Accuracy: 99.30%, LR: 0.010492
Epoch 81/100 - Loss: 0.0199, Accuracy: 99.38%, LR: 0.009549
Epoch 82/100 - Loss: 0.0166, Accuracy: 99.53%, LR: 0.008646
Epoch 83/100 - Loss: 0.0141, Accuracy: 99.59%, LR: 0.007784
Epoch 84/100 - Loss: 0.0099, Accuracy: 99.73%, LR: 0.006963
Epoch 85/100 - Loss: 0.0079, Accuracy: 99.81%, LR: 0.006185
Epoch 86/100 - Loss: 0.0072, Accuracy: 99.81%, LR: 0.005450
Epoch 87/100 - Loss: 0.0050, Accuracy: 99.90%, LR: 0.004759
Epoch 88/100 - Loss: 0.0045, Accuracy: 99.91%, LR: 0.004112
Epoch 89/100 - Loss: 0.0039, Accuracy: 99.94%, LR: 0.003511
Epoch 90/100 - Loss: 0.0034, Accuracy: 99.95%, LR: 0.002956
Epoch 91/100 - Loss: 0.0032, Accuracy: 99.97%, LR: 0.002447
Epoch 92/100 - Loss: 0.0028, Accuracy: 99.97%, LR: 0.001985
Epoch 93/100 - Loss: 0.0025, Accuracy: 99.97%, LR: 0.001571
Epoch 94/100 - Loss: 0.0026, Accuracy: 99.97%, LR: 0.001204
Epoch 95/100 - Loss: 0.0025, Accuracy: 99.98%, LR: 0.000886
Epoch 96/100 - Loss: 0.0024, Accuracy: 99.98%, LR: 0.000616
Epoch 97/100 - Loss: 0.0022, Accuracy: 99.98%, LR: 0.000394
Epoch 98/100 - Loss: 0.0024, Accuracy: 99.98%, LR: 0.000222
Epoch 99/100 - Loss: 0.0026, Accuracy: 99.96%, LR: 0.000099
Epoch 100/100 - Loss: 0.0023, Accuracy: 99.99%, LR: 0.000025

--- Training Patch-Poisoned Model ---
Epoch 1/100 - Loss: 1.8865, Accuracy: 32.47%, LR: 0.100000
Epoch 2/100 - Loss: 1.3194, Accuracy: 51.80%, LR: 0.099975
Epoch 3/100 - Loss: 1.0368, Accuracy: 62.86%, LR: 0.099901
Epoch 4/100 - Loss: 0.8560, Accuracy: 69.95%, LR: 0.099778
Epoch 5/100 - Loss: 0.7230, Accuracy: 74.84%, LR: 0.099606
Epoch 6/100 - Loss: 0.6255, Accuracy: 78.30%, LR: 0.099384
Epoch 7/100 - Loss: 0.5683, Accuracy: 80.45%, LR: 0.099114
Epoch 8/100 - Loss: 0.5367, Accuracy: 81.54%, LR: 0.098796
Epoch 9/100 - Loss: 0.5096, Accuracy: 82.53%, LR: 0.098429
Epoch 10/100 - Loss: 0.4821, Accuracy: 83.64%, LR: 0.098015
Epoch 11/100 - Loss: 0.4631, Accuracy: 84.25%, LR: 0.097553
Epoch 12/100 - Loss: 0.4528, Accuracy: 84.42%, LR: 0.097044
Epoch 13/100 - Loss: 0.4368, Accuracy: 85.04%, LR: 0.096489
Epoch 14/100 - Loss: 0.4251, Accuracy: 85.42%, LR: 0.095888
Epoch 15/100 - Loss: 0.4118, Accuracy: 86.03%, LR: 0.095241
Epoch 16/100 - Loss: 0.4092, Accuracy: 86.11%, LR: 0.094550
Epoch 17/100 - Loss: 0.3951, Accuracy: 86.44%, LR: 0.093815
Epoch 18/100 - Loss: 0.3826, Accuracy: 86.84%, LR: 0.093037
Epoch 19/100 - Loss: 0.3776, Accuracy: 87.19%, LR: 0.092216
Epoch 20/100 - Loss: 0.3712, Accuracy: 87.22%, LR: 0.091354
Epoch 21/100 - Loss: 0.3618, Accuracy: 87.86%, LR: 0.090451
Epoch 22/100 - Loss: 0.3581, Accuracy: 87.81%, LR: 0.089508
Epoch 23/100 - Loss: 0.3519, Accuracy: 88.00%, LR: 0.088526
Epoch 24/100 - Loss: 0.3489, Accuracy: 88.15%, LR: 0.087506
Epoch 25/100 - Loss: 0.3351, Accuracy: 88.71%, LR: 0.086448
Epoch 26/100 - Loss: 0.3285, Accuracy: 88.89%, LR: 0.085355
Epoch 27/100 - Loss: 0.3328, Accuracy: 88.71%, LR: 0.084227
Epoch 28/100 - Loss: 0.3213, Accuracy: 89.03%, LR: 0.083066
Epoch 29/100 - Loss: 0.3169, Accuracy: 89.10%, LR: 0.081871
Epoch 30/100 - Loss: 0.3130, Accuracy: 89.43%, LR: 0.080645
Epoch 31/100 - Loss: 0.3092, Accuracy: 89.30%, LR: 0.079389
Epoch 32/100 - Loss: 0.2990, Accuracy: 89.83%, LR: 0.078104
Epoch 33/100 - Loss: 0.2961, Accuracy: 89.88%, LR: 0.076791
Epoch 34/100 - Loss: 0.2962, Accuracy: 89.92%, LR: 0.075452
Epoch 35/100 - Loss: 0.2871, Accuracy: 90.19%, LR: 0.074088
Epoch 36/100 - Loss: 0.2829, Accuracy: 90.30%, LR: 0.072700
Epoch 37/100 - Loss: 0.2779, Accuracy: 90.52%, LR: 0.071289
Epoch 38/100 - Loss: 0.2715, Accuracy: 90.64%, LR: 0.069857
Epoch 39/100 - Loss: 0.2759, Accuracy: 90.51%, LR: 0.068406
Epoch 40/100 - Loss: 0.2575, Accuracy: 91.22%, LR: 0.066937
Epoch 41/100 - Loss: 0.2564, Accuracy: 91.18%, LR: 0.065451
Epoch 42/100 - Loss: 0.2571, Accuracy: 91.34%, LR: 0.063950
Epoch 43/100 - Loss: 0.2476, Accuracy: 91.61%, LR: 0.062434
Epoch 44/100 - Loss: 0.2444, Accuracy: 91.67%, LR: 0.060907
Epoch 45/100 - Loss: 0.2432, Accuracy: 91.79%, LR: 0.059369
Epoch 46/100 - Loss: 0.2334, Accuracy: 91.96%, LR: 0.057822
Epoch 47/100 - Loss: 0.2253, Accuracy: 92.32%, LR: 0.056267
Epoch 48/100 - Loss: 0.2248, Accuracy: 92.44%, LR: 0.054705
Epoch 49/100 - Loss: 0.2130, Accuracy: 92.68%, LR: 0.053140
Epoch 50/100 - Loss: 0.2157, Accuracy: 92.54%, LR: 0.051571
Epoch 51/100 - Loss: 0.2085, Accuracy: 92.86%, LR: 0.050000
Epoch 52/100 - Loss: 0.1957, Accuracy: 93.26%, LR: 0.048429
Epoch 53/100 - Loss: 0.1899, Accuracy: 93.52%, LR: 0.046860
Epoch 54/100 - Loss: 0.1879, Accuracy: 93.53%, LR: 0.045295
Epoch 55/100 - Loss: 0.1829, Accuracy: 93.72%, LR: 0.043733
